,feature,scores,pvalues,support
10,ICD_Dx_03842,18.897048966151054,1.4136227546542393e-05,True
14,ICD_Dx_0389,130.85151451198996,7.648818011402295e-30,True
17,ICD_Dx_04104,34.06882625906578,5.737271055597868e-09,True
18,ICD_Dx_04109,18.897048966151097,1.4136227546542393e-05,True
20,ICD_Dx_04111,15.108709869386928,0.00010312235579809397,True
23,ICD_Dx_0413,41.28196546643915,1.4706925995412195e-10,True
24,ICD_Dx_04149,29.413011931891138,6.190508203535762e-08,True
27,ICD_Dx_04182,18.897048966151125,1.4136227546542393e-05,True
28,ICD_Dx_04183,18.897048966151047,1.4136227546542393e-05,True
30,ICD_Dx_04185,16.321081383913288,5.445948874338131e-05,True
32,ICD_Dx_04189,12.796532098789694,0.00035133373059434566,True
52,ICD_Dx_07989,37.9811974270161,7.841803250615518e-10,True
54,ICD_Dx_1105,18.897048966150997,1.4136227546542393e-05,True
56,ICD_Dx_1120,34.068826259065744,5.737271055597868e-09,True
58,ICD_Dx_1122,16.94601639836961,3.922589233059941e-05,True
64,ICD_Dx_1129,10.05243634575894,0.0015328463982613864,True
79,ICD_Dx_1471,18.897048966151054,1.4136227546542393e-05,True
80,ICD_Dx_1500,18.897048966150976,1.4136227546542393e-05,True
93,ICD_Dx_1530,14.311423222258544,0.0001571647496486933,True
102,ICD_Dx_1539,14.960209960223818,0.00011153128374818215,True
105,ICD_Dx_1542,18.89704896615119,1.4136227546542393e-05,True
106,ICD_Dx_1543,14.311423222258172,0.0001571647496486933,True
121,ICD_Dx_1580,9.833478944270931,0.001725947209629506,True
152,ICD_Dx_17352,18.89704896615119,1.4136227546542393e-05,True
153,ICD_Dx_17359,17.311176269060898,3.239155241361805e-05,True
161,ICD_Dx_17399,17.782783839632717,2.530367747028995e-05,True
173,ICD_Dx_1809,18.897048966151072,1.4136227546542393e-05,True
178,ICD_Dx_1840,18.897048966151072,1.4136227546542393e-05,True
182,ICD_Dx_1889,18.89704896615119,1.4136227546542393e-05,True
270,ICD_Dx_2113,13.721806249956487,0.0002148132192803368,True
271,ICD_Dx_2114,17.684769590245782,2.6635528058722005e-05,True
273,ICD_Dx_2116,10.052436345758727,0.0015328463982613864,True
290,ICD_Dx_2182,18.897048966150972,1.4136227546542393e-05,True
303,ICD_Dx_2299,18.89704896615116,1.4136227546542393e-05,True
323,ICD_Dx_23871,41.019774437140704,1.6795434330330307e-10,True
344,ICD_Dx_2449,9.209484469546046,0.002422975166646743,True
357,ICD_Dx_25011,18.897048966151157,1.4136227546542393e-05,True
373,ICD_Dx_25073,18.897048966151157,1.4136227546542393e-05,True
380,ICD_Dx_2512,33.478659045793684,7.751077553742827e-09,True
382,ICD_Dx_2519,18.897048966151182,1.4136227546542393e-05,True
405,ICD_Dx_261,35.53699112000551,2.7164416880145366e-09,True
406,ICD_Dx_262,37.91405519944128,8.113769331273525e-10,True
407,ICD_Dx_2630,30.60080461718445,3.370266216168235e-08,True
410,ICD_Dx_2639,55.715109626139565,1.0202666632176836e-13,True
442,ICD_Dx_2752,20.01870019953142,7.879871791922891e-06,True
448,ICD_Dx_2760,26.271635276058397,3.1048905821316325e-07,True
449,ICD_Dx_2761,29.565052624816865,5.726699108744463e-08,True
450,ICD_Dx_2762,51.03550014448389,1.0709633635132133e-12,True
452,ICD_Dx_2764,15.108709869386646,0.00010312235579812438,True
453,ICD_Dx_27650,13.060667426254547,0.0003052358361883511,True
455,ICD_Dx_27652,25.852907317166082,3.851487436368807e-07,True
457,ICD_Dx_27669,51.58652873935046,8.11710724593197e-13,True
458,ICD_Dx_2767,10.050031588901334,0.0015348435818245414,True
459,ICD_Dx_2768,9.491498601072458,0.0020781531120875954,True
460,ICD_Dx_2769,63.83716167483655,1.748010005603708e-15,True
462,ICD_Dx_2774,11.277836229119913,0.0007916403991503092,True
465,ICD_Dx_27800,21.33967579323725,3.966680088297212e-06,True
476,ICD_Dx_2800,11.885919201482583,0.0005713736313071637,True
489,ICD_Dx_2849,18.89704896615116,1.4136227546542393e-05,True
491,ICD_Dx_2851,27.063899147018294,2.0660415804409768e-07,True
497,ICD_Dx_2859,43.143396147147264,5.733592512596266e-11,True
509,ICD_Dx_2875,25.952270373842847,3.6594545976649653e-07,True
510,ICD_Dx_2879,18.897048966151125,1.4136227546542393e-05,True
514,ICD_Dx_28860,69.35695914052808,1.112143957697386e-16,True
518,ICD_Dx_2889,18.897048966151196,1.4136227546542393e-05,True
523,ICD_Dx_28959,58.417844276251365,2.6313964147621986e-14,True
525,ICD_Dx_28982,10.052436345759084,0.0015328463982613864,True
526,ICD_Dx_28983,18.897048966150983,1.4136227546542393e-05,True
536,ICD_Dx_29420,10.440666154191696,0.0012425973805817309,True
541,ICD_Dx_29570,14.373390070989513,0.00015209387178015532,True
542,ICD_Dx_29572,18.89704896615107,1.4136227546542393e-05,True
569,ICD_Dx_30000,10.179019116444803,0.0014313506412519748,True
614,ICD_Dx_3079,22.68824512272681,1.9721579549220535e-06,True
632,ICD_Dx_317,16.402375044025664,5.2182020694051815e-05,True
652,ICD_Dx_3379,14.311423222258467,0.0001571647496486933,True
654,ICD_Dx_33818,42.174643581988605,9.359717882162982e-11,True
655,ICD_Dx_33819,39.635513020058305,3.387341898091735e-10,True
657,ICD_Dx_33828,12.796532098789745,0.00035133373059434566,True
658,ICD_Dx_33829,10.411047539844668,0.0012626332124945716,True
666,ICD_Dx_3418,18.897048966151097,1.4136227546542393e-05,True
674,ICD_Dx_34510,18.89704896615107,1.4136227546542393e-05,True
684,ICD_Dx_34671,18.897048966151168,1.4136227546542393e-05,True
689,ICD_Dx_34830,43.11339566883234,5.821242404858623e-11,True
690,ICD_Dx_34831,34.06882625906523,5.737271055599009e-09,True
695,ICD_Dx_34982,12.796532098789525,0.00035133373059434566,True
758,ICD_Dx_36816,18.897048966151097,1.4136227546542393e-05,True
760,ICD_Dx_36840,18.897048966151168,1.4136227546542393e-05,True
772,ICD_Dx_37214,18.89704896615109,1.4136227546542393e-05,True
778,ICD_Dx_37430,14.311423222258394,0.0001571647496486933,True
781,ICD_Dx_37851,18.897048966151168,1.4136227546542393e-05,True
785,ICD_Dx_37941,18.897048966151164,1.4136227546542393e-05,True
786,ICD_Dx_37943,18.897048966151168,1.4136227546542393e-05,True
869,ICD_Dx_4264,10.72217945038709,0.001067510641912011,True
881,ICD_Dx_42732,10.907169682757678,0.0009662612885599557,True
883,ICD_Dx_4275,10.052436345758426,0.0015328463982617758,True
884,ICD_Dx_42761,10.052436345758263,0.0015328463982617758,True
887,ICD_Dx_42789,13.60911679211363,0.0002280529035833737,True
902,ICD_Dx_42982,18.897048966151097,1.4136227546542393e-05,True
927,ICD_Dx_4401,14.31142322225845,0.0001571647496486933,True
950,ICD_Dx_44283,18.897048966151,1.4136227546542393e-05,True
959,ICD_Dx_44409,9.128877880189103,0.0025318246989944914,True
985,ICD_Dx_4533,18.897048966151086,1.4136227546542393e-05,True
995,ICD_Dx_45382,17.605684855280874,2.7761372161718036e-05,True
998,ICD_Dx_45385,18.897048966151182,1.4136227546542393e-05,True
1000,ICD_Dx_45389,16.946016398371228,3.9225892330561924e-05,True
1002,ICD_Dx_4540,18.897048966151097,1.4136227546542393e-05,True
1024,ICD_Dx_4589,83.14674246388591,1.1736548394041826e-19,True
1047,ICD_Dx_47830,18.897048966151097,1.4136227546542393e-05,True
1048,ICD_Dx_47831,18.897048966151097,1.4136227546542393e-05,True
1049,ICD_Dx_47832,18.897048966151097,1.4136227546542393e-05,True
1053,ICD_Dx_4820,37.981197427016426,7.84180325061407e-10,True
1055,ICD_Dx_48282,18.89704896615105,1.4136227546542393e-05,True
1060,ICD_Dx_4871,18.897048966151097,1.4136227546542393e-05,True
1061,ICD_Dx_48802,18.897048966151097,1.4136227546542393e-05,True
1070,ICD_Dx_49320,8.900013631114934,0.002868742180167938,True
1074,ICD_Dx_496,18.069735559614124,2.1776940597786124e-05,True
1075,ICD_Dx_5069,18.897048966151196,1.4136227546542393e-05,True
1078,ICD_Dx_5109,19.076642758104907,1.2872050093296332e-05,True
1082,ICD_Dx_5119,29.401525871119937,6.227040256906892e-08,True
1085,ICD_Dx_51284,18.897048966150976,1.4136227546542393e-05,True
1087,ICD_Dx_5131,18.897048966151097,1.4136227546542393e-05,True
1088,ICD_Dx_514,11.396035060628655,0.0007429572243730842,True
1092,ICD_Dx_5180,55.04135311754798,1.430731652319851e-13,True
1093,ICD_Dx_5181,14.311423222258425,0.0001571647496486933,True
1095,ICD_Dx_51851,44.77908720966993,2.5084326452972632e-11,True
1097,ICD_Dx_51881,39.96276201073908,2.869479130572967e-10,True
1103,ICD_Dx_5192,18.897048966151097,1.4136227546542393e-05,True
1106,ICD_Dx_5199,37.98119742701662,7.84180325061407e-10,True
1110,ICD_Dx_52460,18.897048966151168,1.4136227546542393e-05,True
1128,ICD_Dx_5304,18.897048966151097,1.4136227546542393e-05,True
1134,ICD_Dx_5309,11.277836229120147,0.0007916403991503092,True
1136,ICD_Dx_53150,9.043594675185245,0.0026524038928049413,True
1154,ICD_Dx_5368,39.63662654947281,3.3854298323747086e-10,True
1208,ICD_Dx_5570,13.050388956436931,0.00030691005926764654,True
1210,ICD_Dx_5579,14.23187028500631,0.00016392529544175335,True
1216,ICD_Dx_5601,44.0505670411704,3.624571653924539e-11,True
1218,ICD_Dx_56030,18.897048966151107,1.4136227546542393e-05,True
1220,ICD_Dx_56081,46.72402173776851,9.397899157809475e-12,True
1221,ICD_Dx_56089,18.66873220585174,1.5925154228395613e-05,True
1222,ICD_Dx_5609,33.01329403864166,9.827537271107774e-09,True
1228,ICD_Dx_56212,18.897048966151065,1.4136227546542393e-05,True
1230,ICD_Dx_56400,29.87426609745443,4.8880804433552904e-08,True
1235,ICD_Dx_5644,18.897048966151097,1.4136227546542393e-05,True
1243,ICD_Dx_56722,262.9664605250206,2.4160021733373935e-57,True
1249,ICD_Dx_56789,34.0688262590657,5.737271055597868e-09,True
1250,ICD_Dx_5679,30.524799127149752,3.503886316228322e-08,True
1253,ICD_Dx_56889,38.73119966370434,5.358922299239855e-10,True
1268,ICD_Dx_56982,9.394892902489897,0.002190277674964386,True
1269,ICD_Dx_56983,13.382504755596443,0.00025722163422703317,True
1272,ICD_Dx_56989,13.421907113675715,0.0002518923270636668,True
1273,ICD_Dx_5699,34.06882625906598,5.737271055596706e-09,True
1282,ICD_Dx_5720,20.35634672827504,6.610647827163381e-06,True
1313,ICD_Dx_5754,18.897048966151047,1.4136227546542393e-05,True
1325,ICD_Dx_5772,12.796532098789143,0.0003513337305944411,True
1327,ICD_Dx_5779,9.128877880189096,0.0025318246989944914,True
1339,ICD_Dx_5845,52.20356071195157,5.951900247520353e-13,True
1341,ICD_Dx_5849,27.731504358537947,1.466293929651046e-07,True
