,feature,scores,pvalues,support
64,CCS_Dx_Complications_of_surgical_procedures_or_medical_care,573.2394011000316,1.4094703116977962e-118,True
219,CCS_Dx_Peritonitis_and_intestinal_abscess,724.9115300524575,5.328295750341168e-147,True
228,CCS_Dx_Postoperative_Infection,1511.1182808027768,4.1952925975710775e-281,True
490,LAB_LG32892-8_amax,459.7998384211284,1.0794381539710507e-96,True
715,MED_ANALGESICS__NonNarcotic,361.4883968726407,2.8808864804108513e-77,True
716,MED_ANALGESICS__OPIOID,367.5481207869151,1.7753419808323662e-78,True
725,MED_ANTICOAGULANTS,426.9169456010127,3.0338115311555066e-90,True
731,MED_ANTIEMETICS,360.9194187315751,3.743264035310451e-77,True
756,MED_DIAGNOSTIC_PRODUCTS,501.20641970515345,9.569393794135902e-105,True
794,MED_ULCER_DRUGS,395.4465119410632,5.005809714396421e-84,True
