number_of_features,algorithm,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
5,lr,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.01}",0.9374019068573524,6.0,0.035185185185185194,1031.0,0.5396369513862986,1023.0,0.5286885245901639,0.07745664739884392,0.5301024216907044
5,lr,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.1}",0.9267675100843421,8.0,0.5045096223165554,1.0,0.878845474778793,307.0,0.8352429318127822,0.8155399124183901,0.8816350066767825
5,lr,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.25}",0.9203373670700404,11.0,0.4879875890093172,3.0,0.8803487650363669,262.0,0.8279000356379187,0.8107126112057124,0.8770670663182522
5,lr,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.5}",0.910929592959296,25.0,0.4577445865239083,21.0,0.880138437215073,270.0,0.8415033262057495,0.8258141299979641,0.8846415838724321
5,lr,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 1}",0.906972863953062,44.0,0.452529271225354,34.0,0.8812097961736916,231.0,0.8415181753385601,0.8260743894366168,0.8864996870569074
5,lr,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 2}",0.9074728028358392,42.0,0.4515117461558372,36.0,0.8810552492591901,235.0,0.834433654074602,0.8190078683183517,0.8799314903647367
5,lr,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.01}",0.915881921525486,14.0,0.4676365737167944,7.0,0.8788048063274483,311.0,0.8360700285103351,0.8181335233182307,0.8790265416465644
5,lr,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.1}",0.9087030925314752,37.0,0.454124265277789,30.0,0.8787599918666336,314.0,0.8352325374198146,0.8202403437317949,0.8818814897572242
5,lr,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.25}",0.9035075174184084,56.0,0.4397174444171101,56.0,0.8790040106692153,302.0,0.8385023164647183,0.823621369935019,0.8833415696805559
5,lr,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.5}",0.90820987654321,41.0,0.45686475331176296,23.0,0.8801767647333083,269.0,0.8417869446424329,0.8272560289945231,0.8824760182183372
5,lr,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 1}",0.9094432220999876,32.0,0.4557606042263475,26.0,0.8795898040868873,285.0,0.8338842361606084,0.8181295218107885,0.8801184021041161
5,lr,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 2}",0.908704314875932,36.0,0.4491011630017142,40.0,0.8813694798660325,227.0,0.8382394868139699,0.8232412480104301,0.88023709567847
5,lr,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.01}",0.5004693802713605,1035.0,0.04846858732863329,1027.0,0.5,1030.0,0.5,0.3333333333333333,0.5
5,lr,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.1}",0.9099468280161348,29.0,0.45910719747249,20.0,0.8805073980609432,255.0,0.8368703967688287,0.8210003206297012,0.8796723024382326
5,lr,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.25}",0.9109320376482092,23.0,0.4537999574090405,31.0,0.8799253426892951,277.0,0.834153005464481,0.8181001993393997,0.885715839649348
5,lr,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.5}",0.9049944994499449,49.0,0.4484974395144968,42.0,0.8794451130512039,290.0,0.8417839748158708,0.8264318843525998,0.884660770793612
5,lr,"{'solver': 'saga', 'penalty': 'l1', 'C': 1}",0.9089506172839508,34.0,0.4544922961270891,29.0,0.8807497137780264,248.0,0.8355057614635305,0.8197372933288432,0.8833102606862105
5,lr,"{'solver': 'saga', 'penalty': 'l1', 'C': 2}",0.90499266593326,50.0,0.4516093470690505,35.0,0.8805886086892329,253.0,0.8428620218579235,0.8286549791711282,0.8832992631023469
5,lr,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.01}",0.915881921525486,14.0,0.4684972186332893,6.0,0.8790877710690456,299.0,0.8284390591589451,0.8121810672327054,0.8753799046466939
5,lr,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.1}",0.9052408018579636,48.0,0.4470735859422333,46.0,0.8806933775876538,250.0,0.8360507246376813,0.8225768610636134,0.8811822956805896
5,lr,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.25}",0.8988155482214889,78.0,0.4312110489485184,72.0,0.8797010874492311,281.0,0.8431500950344499,0.8292317815055528,0.8872233321058192
5,lr,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.5}",0.902763109644298,59.0,0.4349980655636713,66.0,0.8805975029399271,251.0,0.8396026372059872,0.8246663708137782,0.8829953530998893
5,lr,"{'solver': 'saga', 'penalty': 'l2', 'C': 1}",0.9096901356802348,30.0,0.4550894326022164,28.0,0.8804349829302914,258.0,0.8371465906391066,0.8225249017342744,0.8780322864987521
5,lr,"{'solver': 'saga', 'penalty': 'l2', 'C': 2}",0.9106832905512776,27.0,0.4656721775449793,10.0,0.8825885377813005,185.0,0.8295408648134949,0.814837665157192,0.8781883866844435
5,rf,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'entropy'}",0.8644212198997678,217.0,0.3673204277168066,227.0,0.852174643485277,879.0,0.9335516155856498,0.9300895502863702,0.963592937936947
5,rf,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.8441345801246791,496.0,0.33782614511414644,509.0,0.8554251715712938,849.0,0.9349103112378238,0.9312626531603608,0.9651517437344774
5,rf,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'entropy'}",0.8656527319398606,209.0,0.379064892318471,166.0,0.8834695745070766,160.0,0.8464094796863864,0.8399423808918174,0.8930354095617323
5,rf,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'gini'}",0.8631884855152181,222.0,0.3746447304612315,190.0,0.8836877766704484,150.0,0.8346875742456641,0.8285488679484413,0.8883360991827665
5,rf,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'entropy'}",0.8453599804424886,476.0,0.3363979014780139,529.0,0.8302269855192403,968.0,0.9370871941078642,0.9336776076679576,0.9675463618044092
5,rf,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'gini'}",0.8461190563500793,461.0,0.3256842618653797,640.0,0.8459585287348729,916.0,0.9379009265858874,0.9347116286074646,0.9663625001382956
