,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.01}",0.9495306197286395,1.0,0.0,24.0,0.5,23.0,0.5,0.0,0.5
1,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.1}",0.9247836450311698,2.0,0.4818128981196887,1.0,0.8831291128219674,13.0,0.828712283202661,0.8075396794254128,0.8839537190949646
2,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.25}",0.9136499205476103,8.0,0.46994841787341757,3.0,0.8807842069255356,15.0,0.8461288310762651,0.8299197367581657,0.8921891947820833
3,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.5}",0.9119160249358268,11.0,0.45372854842996857,14.0,0.8838391133011625,12.0,0.8357685911142789,0.8201113586831775,0.8907555849197246
4,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 1}",0.9064723138980565,22.0,0.44682554984201717,19.0,0.888556895683099,2.0,0.8431159420289855,0.8272365053734241,0.8985340323284777
5,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 2}",0.9094517785111847,15.0,0.45300569033676397,15.0,0.8863067449632702,5.0,0.8363432525540508,0.8208964642927926,0.8920013806377243
6,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.01}",0.9186004155971152,3.0,0.468282015929341,5.0,0.8850435719530958,9.0,0.8213426585887383,0.7990857403151435,0.8861742922484888
7,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.1}",0.9146387972130545,5.0,0.47369997651840634,2.0,0.8858150567328217,7.0,0.8390502494654312,0.8229274564123246,0.8868992238518096
8,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.25}",0.9092024202420242,18.0,0.45043436149466204,17.0,0.8873661353752228,3.0,0.8453225231646471,0.8295417799607314,0.895391079439382
9,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.5}",0.9094432220999877,16.0,0.45725952132677233,9.0,0.8863496475001554,4.0,0.8412375267284391,0.8254997168440597,0.893087277099311
10,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 1}",0.9094401662388462,17.0,0.45628394765386215,11.0,0.8846295521921237,10.0,0.8406910786410074,0.8246108221119719,0.89135954477632
11,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 2}",0.9084525119178586,19.0,0.4498928280884428,18.0,0.8772111384058083,19.0,0.842853112378237,0.8262906772947762,0.8946824945386661
12,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.01}",0.6797286395306197,24.0,0.028750277469478357,23.0,0.5,23.0,0.5,0.2,0.5
13,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.1}",0.9141443588803323,6.0,0.46636615550174865,6.0,0.8753575232992457,20.0,0.8374153599429792,0.8214618956292963,0.8858534976195666
14,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.25}",0.9072154993277104,20.0,0.4461772934476424,20.0,0.8839884562533673,11.0,0.8453091589451176,0.8302107742821239,0.8870040028467576
15,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.5}",0.9119184696247402,10.0,0.4550287226701778,13.0,0.8824260703859981,14.0,0.8368911855547637,0.8202925906988231,0.8889420294864758
16,"{'solver': 'saga', 'penalty': 'l1', 'C': 1}",0.9138931670944872,7.0,0.46184995437112397,7.0,0.875110702176323,21.0,0.836603112378237,0.8211772720864585,0.8879508859446329
17,"{'solver': 'saga', 'penalty': 'l1', 'C': 2}",0.9096907468524629,14.0,0.45554927364288816,12.0,0.8783593418124974,18.0,0.8417884295557141,0.8260868261950503,0.8926706779575676
18,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.01}",0.9121708837550422,9.0,0.4512008193015661,16.0,0.8860202963433524,6.0,0.8306114872891424,0.8127110417688739,0.8863186303440015
19,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.1}",0.9109357046815794,12.0,0.4584304506986056,8.0,0.8901663916151208,1.0,0.836603112378237,0.820758405463842,0.8876186324085567
20,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.25}",0.9069759198142038,21.0,0.4442487026899281,21.0,0.8733675140326473,22.0,0.843151579947731,0.8280263329541591,0.8910900229611551
21,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.5}",0.9101864075296419,13.0,0.456687436274352,10.0,0.8850722410986261,8.0,0.8404237942504157,0.8247708665379536,0.8922016812040698
22,"{'solver': 'saga', 'penalty': 'l2', 'C': 1}",0.9158788656643442,4.0,0.46862376489930596,4.0,0.8798516931454371,16.0,0.8390769779044904,0.8226882921338294,0.8865402416120778
23,"{'solver': 'saga', 'penalty': 'l2', 'C': 2}",0.9052420242024203,23.0,0.43497401383630657,22.0,0.8797742011363401,17.0,0.8431337609883582,0.8286174154409368,0.892578887279298
