,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'entropy'}",0.8406631218677424,8.0,0.3080246368719322,14.0,0.8334111264583074,30.0,0.9142195295794726,0.9084384903710049,0.9577519427297914
1,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.8344768365725461,13.0,0.3118322022359681,11.0,0.8426665599809875,21.0,0.9207590876692802,0.9156969550165522,0.9614040096825096
2,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'entropy'}",0.8297848673756263,15.0,0.314986410428269,10.0,0.8566795604161486,10.0,0.8148134948918984,0.8063194045216132,0.8730210463861084
3,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'gini'}",0.8515425987043148,2.0,0.336126816401033,4.0,0.8525924441931909,14.0,0.8170260156806843,0.8049572395281688,0.870207599599544
4,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'entropy'}",0.8216165505439432,23.0,0.2923120280373369,25.0,0.8402426492110117,24.0,0.932192919933476,0.9282603792769295,0.9663257328352209
5,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'gini'}",0.838684146192397,9.0,0.30469895218207843,16.0,0.8372097979544841,29.0,0.9313658232359231,0.9272056480304798,0.963957993406731
6,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'entropy'}",0.822097543087642,22.0,0.28707783273649473,28.0,0.8263281759954308,32.0,0.9324498099311,0.928571950353842,0.9664257696948682
7,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'gini'}",0.822593203764821,21.0,0.2959497653808739,20.0,0.8296130418143106,31.0,0.9338174150629603,0.9304035371677483,0.9661988538042934
8,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.8347188607749663,12.0,0.3099718414817047,12.0,0.8557628430778316,11.0,0.933002197671656,0.9283638152955686,0.9595855020687605
9,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",0.8297818115144849,16.0,0.3087489140989984,13.0,0.8455502115581872,19.0,0.940083749109052,0.9363243906883773,0.9626693202003498
10,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'entropy'}",0.8443717149492725,6.0,0.3334696324129749,6.0,0.8586039879398234,5.0,0.8178085649798051,0.8098544281422411,0.8733856083841767
11,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'gini'}",0.8498129812981297,4.0,0.34200287536810803,2.0,0.8611386389303328,2.0,0.8251588857210738,0.8154704998771694,0.8765640537082655
12,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.8191449700525608,25.0,0.29361040815157274,24.0,0.8525789312134776,15.0,0.9466173675457353,0.9440427709389972,0.9666686395392448
13,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'gini'}",0.8235930815303751,19.0,0.2953605831666568,21.0,0.8398492558876247,26.0,0.9455304110239962,0.9425087518435058,0.9653885687046833
14,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'entropy'}",0.8097433076640999,31.0,0.29205217746062806,27.0,0.8551030585278607,13.0,0.9474400095034449,0.944705332938146,0.9665304111439464
15,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini'}",0.8075058061361691,32.0,0.2816284752310042,32.0,0.8514491355384081,17.0,0.9468905915894512,0.944229404141159,0.9671512395748433
16,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'entropy'}",0.8508153037525975,3.0,0.33401202320384416,5.0,0.8554900701373347,12.0,0.927555535756712,0.9220278499186584,0.960157594677351
17,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini'}",0.8260921647720327,17.0,0.3019737870303702,17.0,0.8417306942631273,23.0,0.9387354478498457,0.9349510562312565,0.9622923570243364
18,"{'n_estimators': 200, 'max_depth': 2, 'criterion': 'entropy'}",0.8347316953917613,10.0,0.3168480260850463,9.0,0.8605895452243668,3.0,0.8194330601092897,0.811761280450359,0.8729255535674865
19,"{'n_estimators': 200, 'max_depth': 2, 'criterion': 'gini'}",0.8451167338956118,5.0,0.33627435604725175,3.0,0.857287996614551,9.0,0.822971608458066,0.8143277071845274,0.870878475146891
20,"{'n_estimators': 200, 'max_depth': 20, 'criterion': 'entropy'}",0.8181548710426597,26.0,0.28607043772580487,30.0,0.8393442400418067,27.0,0.9463456284153006,0.9433823752775071,0.9658411138432246
21,"{'n_estimators': 200, 'max_depth': 20, 'criterion': 'gini'}",0.8134586236401418,29.0,0.2865854776191794,29.0,0.8426904323182166,20.0,0.9460768591114279,0.9433308387227897,0.9659707726325198
22,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'entropy'}",0.8151772399462169,27.0,0.29530670787343194,22.0,0.8505754640098532,18.0,0.9455274411974341,0.9428172035512021,0.9635337589918926
23,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'gini'}",0.8136994254981055,28.0,0.2941990435375221,23.0,0.8688681054177547,1.0,0.9463471133285817,0.9436887230642762,0.9653274962217795
24,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'entropy'}",0.8421568267937903,7.0,0.3220311864154685,7.0,0.8523093742229267,16.0,0.9291948800190071,0.9242122555160478,0.960997238609893
25,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'gini'}",0.8347194719471946,11.0,0.3064637592087216,15.0,0.839955517414211,25.0,0.9360076621525304,0.9318433993897248,0.964490207150377
26,"{'n_estimators': 50, 'max_depth': 2, 'criterion': 'entropy'}",0.8572478914558121,1.0,0.3543265178448713,1.0,0.8579465451324133,6.0,0.8180639700641483,0.8069226270221648,0.8717934786048446
27,"{'n_estimators': 50, 'max_depth': 2, 'criterion': 'gini'}",0.8300158904779368,14.0,0.318364060421059,8.0,0.8589331075935597,4.0,0.8177981705868378,0.8114377826893937,0.8721533871514028
