,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'kernel': 'linear', 'C': 0.01}",0.9052414130301919,1.0,0.4407090321636681,1.0,0.8800533234126984,1.0,0.86875,0.8562630695657522,0.9095007003435261
1,"{'kernel': 'linear', 'C': 0.1}",0.8916299963329667,2.0,0.41372764031620407,2.0,0.8762278032269262,4.0,0.8989768947493466,0.8907845747231422,0.9288785889479072
2,"{'kernel': 'linear', 'C': 0.25}",0.8701130668622417,5.0,0.3779998242985388,5.0,0.8628547792593974,7.0,0.9052298645759087,0.8987187744067215,0.9340294287692075
3,"{'kernel': 'linear', 'C': 0.5}",0.8545116733895611,7.0,0.34901971296604895,8.0,0.8458703802996395,9.0,0.9183000712758375,0.913235403919607,0.9381817411859584
4,"{'kernel': 'linear', 'C': 1}",0.8629366825571447,6.0,0.3522242951895628,6.0,0.8334632624059741,10.0,0.9182985863625565,0.9131742509511481,0.9359742127521798
5,"{'kernel': 'linear', 'C': 2}",0.8394322209998777,9.0,0.3074831238810828,10.0,0.7909813544515936,12.0,0.9229270610596341,0.9187808084941874,0.9391110151491636
6,"{'kernel': 'rbf', 'C': 0.01}",0.8270541498594305,11.0,0.3033536506022875,11.0,0.8113934153404617,11.0,0.791123188405797,0.7814960111679029,0.8205050958808752
7,"{'kernel': 'rbf', 'C': 0.1}",0.8171623273438456,12.0,0.29495590278443873,12.0,0.858125458149426,8.0,0.8101775956284152,0.8006893101889201,0.8833236735914214
8,"{'kernel': 'rbf', 'C': 0.25}",0.8297732551032881,10.0,0.3117181856015724,9.0,0.8700794363110779,5.0,0.8295260156806842,0.822881483198222,0.8977052886084369
9,"{'kernel': 'rbf', 'C': 0.5}",0.8525412541254125,8.0,0.3495008358165195,7.0,0.8672604655575242,6.0,0.8559545022570682,0.8489009922964463,0.9155227040188999
10,"{'kernel': 'rbf', 'C': 1}",0.8767846229067352,4.0,0.39025812942737037,4.0,0.8780806938745906,3.0,0.9035920052268948,0.8954020650836825,0.9309360335378866
11,"{'kernel': 'rbf', 'C': 2}",0.8839616183840606,3.0,0.40726051155733717,3.0,0.8799238970093042,2.0,0.9218401045378949,0.9155515261467656,0.9490773349857393
