,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.01}",0.8050488937782667,70.0,0.2742142458553628,80.0,0.8271194947599362,77.0,0.8886166547873604,0.8844321765196584,0.9305394950136264
1,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.05}",0.8184085075174184,47.0,0.29965690157095043,55.0,0.8440779224752891,72.0,0.912042646709432,0.9087805690678292,0.9582959994859215
2,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.1}",0.8080088008800882,68.0,0.292369942455896,68.0,0.8465443383415703,68.0,0.9311000237586124,0.9283317082539913,0.9668292068125973
3,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.5}",0.8386969808091921,15.0,0.33376816111595414,13.0,0.8797859600351238,18.0,0.9654163696840105,0.9642852165508884,0.9915588830507701
4,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 1}",0.8248374281872632,37.0,0.3117288887220232,37.0,0.8716663396483485,33.0,0.9730339748158707,0.9723712751966861,0.9948677438207852
5,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.01}",0.8112186774232978,64.0,0.2789655610517804,79.0,0.8152286797007751,79.0,0.8886018056545499,0.8836751965334828,0.9315208916291446
6,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.05}",0.8119948661532819,62.0,0.29393190310599765,63.0,0.8389817005729621,75.0,0.9169547398431931,0.9140764950335308,0.9575100842598854
7,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.1}",0.8305268304608239,29.0,0.3197858860661781,30.0,0.8674256251877928,41.0,0.9389878831076267,0.9369282190406272,0.9708871831366516
8,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.5}",0.8399339933993399,11.0,0.3205435893465504,29.0,0.8666347135772824,45.0,0.9684010453789499,0.9675571522725287,0.9932635361999351
9,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 1}",0.8149419386383082,58.0,0.304230261238013,49.0,0.8668852508910441,44.0,0.9724919814682822,0.9718470683906892,0.9952300356725633
10,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.01}",0.8191504706026157,45.0,0.28208376652874423,77.0,0.8166650008159267,78.0,0.8885914112615824,0.8831325404886037,0.9361063843223836
11,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.05}",0.8258391394695025,34.0,0.30196369900301523,51.0,0.8525294834535208,60.0,0.9202081848420054,0.9175862033998285,0.9608595199589702
12,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.1}",0.8045318420730962,72.0,0.2926664049518505,67.0,0.8497631496979776,66.0,0.9316464718460441,0.9295956935163833,0.9723778558809002
13,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.5}",0.8315126512651265,25.0,0.32617404312184795,25.0,0.8758162077725455,26.0,0.9694924566405321,0.9686657642714952,0.9933395106907689
14,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 1}",0.8236126390416819,40.0,0.3117222449342469,38.0,0.8622352187720171,53.0,0.9733057139463055,0.9726155618630916,0.9954265407843341
15,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.01}",0.8310169905879476,28.0,0.3001325083916204,54.0,0.8124725102249887,80.0,0.8886092302209552,0.8830639096625633,0.9328550231060128
16,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.05}",0.8169264148637085,51.0,0.30656273431727044,44.0,0.8523664162548178,62.0,0.918034271798527,0.9151690248967121,0.9577705833482355
17,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.1}",0.80998533186652,65.0,0.2911185892361727,70.0,0.8506893699943532,64.0,0.9327319434545025,0.9308708530463441,0.9709310109660052
18,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.5}",0.8258159149248258,36.0,0.31560550651124375,34.0,0.8682248110093145,39.0,0.9689504632929437,0.9681542291404723,0.9930305348637882
19,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 1}",0.8283149981664835,31.0,0.3166651817908325,33.0,0.8672228875911765,42.0,0.9724904965550014,0.9717934871768295,0.9959294887887742
20,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01}",0.831264515340423,27.0,0.30807873441817385,42.0,0.8508751641567202,63.0,0.931619743406985,0.9292953822576451,0.9710673377973726
21,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.05}",0.856758953673145,1.0,0.35904542355486996,1.0,0.8816127644963012,12.0,0.9645937277263009,0.9634892359806446,0.9916259114594578
22,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1}",0.8320303141425253,24.0,0.33078472613353344,17.0,0.8747074270716771,29.0,0.9724860418151581,0.9718029944382884,0.9951762381269734
23,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.5}",0.8206307297396405,43.0,0.3141247309700058,35.0,0.8819868224568983,11.0,0.9757632454264671,0.9752306121992692,0.9972928940750287
24,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 1}",0.8015829360713849,77.0,0.2873454586899139,74.0,0.8524463657580089,61.0,0.9749391185554763,0.97441423117267,0.9973671368285248
25,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.01}",0.8221054883266106,42.0,0.30653779051704844,45.0,0.8607950649050418,54.0,0.9368184248039915,0.9343760143317805,0.9740747566290986
26,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.05}",0.8344866153281995,22.0,0.3307529764121292,18.0,0.8846857920577935,6.0,0.9689460085531005,0.9680588468377351,0.9936299510762527
27,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.1}",0.8399223811270016,12.0,0.33951670998772754,6.0,0.882524654267168,10.0,0.9716723093371347,0.9709727329563227,0.9958325512313779
28,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.5}",0.8169203031414252,52.0,0.305802900753227,46.0,0.8718429602993286,32.0,0.9765740080779282,0.9760811429909448,0.9973660484124913
29,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 1}",0.8043008189707859,73.0,0.29367873303173764,66.0,0.8627531000365225,52.0,0.9752108576859111,0.974653254672285,0.9972335816412448
30,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.01}",0.8199071018212931,44.0,0.30181954003904826,52.0,0.8456302800507169,70.0,0.9335441910192444,0.9311544368501264,0.9706688652079618
31,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.05}",0.8424049627184941,7.0,0.3442797450082276,5.0,0.8923515174945086,1.0,0.9670334402470896,0.966077552689495,0.9934249773900874
32,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.1}",0.8424006845128957,8.0,0.33748356683843017,8.0,0.8800578547209789,15.0,0.9722157875980043,0.9715162430618373,0.9959708929620035
