,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.01}",0.9495306197286395,1.0,0.0,24.0,0.5,24.0,0.5,0.0,0.5
1,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.1}",0.9158696980809191,2.0,0.4749999701260566,1.0,0.8724116645815203,17.0,0.8466737942504159,0.8314195353110204,0.8941617635599218
2,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.25}",0.9121653832049871,3.0,0.4634016276047094,2.0,0.8815002370073355,7.0,0.8529505226894749,0.8390180770797893,0.8962637480955433
3,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 0.5}",0.9022717271727174,8.0,0.4422871191106103,8.0,0.8772629028153365,12.0,0.8564875861249703,0.8444100195881561,0.8995488500325642
4,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 1}",0.899797090820193,10.0,0.43286542163152203,10.0,0.8755118937533674,14.0,0.8551214659063909,0.8436422244874946,0.8997371372306404
5,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 2}",0.8911318909668745,18.0,0.41477100173514714,19.0,0.8731330783238012,16.0,0.8605517937752436,0.8503956117775251,0.9009620958739182
6,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.01}",0.907219777533309,5.0,0.4448420009201325,6.0,0.8818453125647562,5.0,0.828988477072939,0.8130398896054807,0.8831979436572324
7,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.1}",0.8950977875565334,14.0,0.4200730753221763,15.0,0.8719241774032284,18.0,0.8575641482537419,0.847024098574211,0.8974350625707672
8,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.25}",0.8943552132991076,16.0,0.420819861768174,14.0,0.8781382523364002,11.0,0.8594856260394392,0.8487528572088886,0.8977715400306938
9,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.5}",0.8997915902701381,11.0,0.43049506873114984,11.0,0.8795564433617222,10.0,0.8586540746020432,0.8472251251108783,0.9005086037459552
10,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 1}",0.8861881188118812,22.0,0.41157800883730367,21.0,0.8642148095911558,21.0,0.8695622475647424,0.8597434558203771,0.9106573434945149
11,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 2}",0.8866831683168318,21.0,0.4156842645538027,18.0,0.8606447489923952,22.0,0.8586570444286054,0.8481989813941906,0.9070610649965982
12,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.01}",0.4878456178951229,24.0,0.08320538183679296,23.0,0.5396369513862986,23.0,0.5295081967213114,0.4114674441205053,0.5307563677625489
13,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.1}",0.9084580124679136,4.0,0.45539577024602157,3.0,0.8898653315900991,1.0,0.8464109645996671,0.8338409276141118,0.8928547532268164
14,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.25}",0.9062327343845495,6.0,0.45029977234877433,5.0,0.8829883605762257,4.0,0.8564994654312189,0.843903652214099,0.9011913907038769
15,"{'solver': 'saga', 'penalty': 'l1', 'C': 0.5}",0.9047420853196432,7.0,0.45335084074647414,4.0,0.8812877843764246,8.0,0.8559381682109765,0.8439402573548662,0.8986130332253385
16,"{'solver': 'saga', 'penalty': 'l1', 'C': 1}",0.9005341645275639,9.0,0.44404127675175564,7.0,0.885154411736137,2.0,0.8551140413399858,0.8434605447829566,0.8983648466752421
17,"{'solver': 'saga', 'penalty': 'l1', 'C': 2}",0.8953428676200954,13.0,0.4192817663872181,16.0,0.8745968487414004,15.0,0.8605725825611785,0.8490351979109532,0.9033321454909069
18,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.01}",0.8908935337978242,19.0,0.4177120764289821,17.0,0.8803526957317958,9.0,0.842345272036113,0.8293328725109701,0.8912665884199568
19,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.1}",0.8894102187996579,20.0,0.41356372250843165,20.0,0.8817378919039331,6.0,0.8524070444286055,0.8413794923729851,0.8985539148286904
20,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.25}",0.8970798190930204,12.0,0.4385936196335439,9.0,0.8836280173106014,3.0,0.851293359467807,0.8400562960776348,0.8983099444409588
21,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.5}",0.8945941816403862,15.0,0.42720252229874467,12.0,0.8761183055141115,13.0,0.8592183416488478,0.8489867040766093,0.9024596792507582
22,"{'solver': 'saga', 'penalty': 'l2', 'C': 1}",0.8941076885466325,17.0,0.42633086766979245,13.0,0.8669640574490239,20.0,0.8581195058208602,0.8480673057343034,0.8998647405492767
23,"{'solver': 'saga', 'penalty': 'l2', 'C': 2}",0.8827239946216844,23.0,0.3954569128250676,22.0,0.8717554602345725,19.0,0.8575893917795201,0.8475348102100908,0.90105711109659
