,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'entropy'}",0.8377056594548344,12.0,0.32746314135364096,17.0,0.8561986937398979,31.0,0.9523387384176767,0.9503730817262503,0.9816815302111446
1,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.8292904290429043,21.0,0.3161951184699562,29.0,0.8646199237691162,28.0,0.9523417082442386,0.9504493886947275,0.9811642790679344
2,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'entropy'}",0.8131927637208165,32.0,0.3103793636928823,31.0,0.8561044485176034,32.0,0.8300472202423379,0.8279020834325153,0.8852720506570563
3,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'gini'}",0.8144407774110742,31.0,0.30469328900657044,32.0,0.8652453794901882,27.0,0.8385334996436209,0.8343306687705606,0.8939495147159457
4,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'entropy'}",0.8342390905757242,16.0,0.3196446331164977,24.0,0.8644749478065812,29.0,0.978482121644096,0.978042323176586,0.9979009771325613
5,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'gini'}",0.8354773255103287,15.0,0.3208820266853398,22.0,0.8665287499287684,26.0,0.9806634592539796,0.9803404534370737,0.9977393821679789
6,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'entropy'}",0.8431420364258647,7.0,0.33249308518307924,14.0,0.8815475745277984,12.0,0.9861056664290805,0.9859462923568607,0.9993647389987436
7,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'gini'}",0.8297812003422564,20.0,0.31499204588321295,30.0,0.8612271443335819,30.0,0.979567593252554,0.9793687997812126,0.9988714774604205
8,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.8599633296662998,1.0,0.36761602790623343,1.0,0.8863356464213187,8.0,0.9596890591589451,0.9579721431597623,0.9873832286280724
9,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",0.8337452634152303,17.0,0.33028998835971585,15.0,0.8774956605316735,18.0,0.9594158351152293,0.9576775567282999,0.9852347538089983
10,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'entropy'}",0.8285515218188486,23.0,0.32297491676376777,21.0,0.8760763500352275,20.0,0.8507736398194344,0.8479748382731562,0.9020538265911849
11,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'gini'}",0.8290331255347756,22.0,0.31824788699098855,27.0,0.8689341849732168,25.0,0.8401461154668567,0.8369430150522668,0.8965027701394177
12,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.8463555800024446,4.0,0.3477617782981127,4.0,0.887608843676178,5.0,0.9852934188643383,0.9850689343250328,0.9996690131736259
13,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'gini'}",0.8391871409363161,11.0,0.338684543741328,9.0,0.8826824446529591,11.0,0.9901966025184128,0.9900809474879859,0.9994854597760735
14,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'entropy'}",0.8285423542354236,24.0,0.3284264641187109,16.0,0.8917775380183078,1.0,0.9970049299120932,0.9970027005187685,0.9998386033060909
15,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini'}",0.8260842195330644,27.0,0.3200359867754557,23.0,0.8791909024475217,16.0,0.9942786291280589,0.9942644674628365,0.9998456800168309
16,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'entropy'}",0.8446253514240313,5.0,0.34558674610723866,5.0,0.8871622483577852,7.0,0.9591455808980756,0.9573865360432234,0.9860532282900246
17,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini'}",0.8416538320498717,9.0,0.3426286455587724,6.0,0.8799200456401011,14.0,0.9602355072463767,0.9585697274993616,0.9862173439733984
18,"{'n_estimators': 200, 'max_depth': 2, 'criterion': 'entropy'}",0.8438876665444323,6.0,0.3417226868860058,7.0,0.8779220446609889,17.0,0.8480458541221193,0.8443857565521741,0.8990559079940251
19,"{'n_estimators': 200, 'max_depth': 2, 'criterion': 'gini'}",0.8428987898789879,8.0,0.3410662401966914,8.0,0.8751939833809939,22.0,0.8407029579472558,0.8371088377840685,0.8947912344048474
20,"{'n_estimators': 200, 'max_depth': 20, 'criterion': 'entropy'}",0.8490801857963574,2.0,0.3505088564012686,3.0,0.8873689433617225,6.0,0.987200047517225,0.9870124544831492,0.9997019892556629
