,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'kernel': 'linear', 'C': 0.01}",0.8532942183107199,1.0,0.3345620185724983,1.0,0.8394068826671226,3.0,0.9286573414112617,0.9235302622414936,0.9701300197160077
1,"{'kernel': 'linear', 'C': 0.1}",0.786976530986432,4.0,0.2458076225181854,5.0,0.7844027876530835,7.0,0.970040389641245,0.9690996174546915,0.9845667797342224
2,"{'kernel': 'linear', 'C': 0.25}",0.7476402640264026,9.0,0.21751555442938314,9.0,0.7478394506804571,8.0,0.9817519006889995,0.9813875774718177,0.9926254712738674
3,"{'kernel': 'linear', 'C': 0.5}",0.7246314631463145,10.0,0.2009690667394075,10.0,0.7400642963342865,9.0,0.9858368971252078,0.9856274917896677,0.995840910571685
4,"{'kernel': 'linear', 'C': 1}",0.7038418286273072,11.0,0.1880559503033724,11.0,0.7242501874689171,11.0,0.9912850439534331,0.991196548712157,0.9975271658693222
5,"{'kernel': 'linear', 'C': 2}",0.6850488937782668,12.0,0.1807815307237756,12.0,0.7286431993788594,10.0,0.994553338085056,0.9945189890980004,0.998584998210766
6,"{'kernel': 'rbf', 'C': 0.01}",0.7518555188852218,8.0,0.2186894272879017,8.0,0.5652300347222222,12.0,0.7320340342124021,0.7204392960373172,0.5874851683746309
7,"{'kernel': 'rbf', 'C': 0.1}",0.7533339445055616,7.0,0.23408787391677088,7.0,0.8056992574417713,6.0,0.7600810762651461,0.7563102488350812,0.8381128748927997
8,"{'kernel': 'rbf', 'C': 0.25}",0.7555665566556655,6.0,0.24002715948344258,6.0,0.8190336009703054,5.0,0.8088129603231172,0.8034936576341597,0.8825027593139094
9,"{'kernel': 'rbf', 'C': 0.5}",0.7731224789145582,5.0,0.252468933027543,4.0,0.8316051540353412,4.0,0.8450552387740556,0.8400849371729473,0.9139368699508361
10,"{'kernel': 'rbf', 'C': 1}",0.7996051827404963,3.0,0.2789269453214735,3.0,0.8458824605505824,2.0,0.9144868139700643,0.9079469936091726,0.945262386293533
11,"{'kernel': 'rbf', 'C': 2}",0.8087587092042536,2.0,0.2929888309778086,2.0,0.8539787752160262,1.0,0.9384518294131624,0.9343751814335798,0.9680742017305176
