,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.01}",0.8302738051582936,46.0,0.31468854073016134,52.0,0.8513254392406442,79.0,0.9033143264433356,0.8998900636785901,0.9461584331171069
1,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.05}",0.8513170761520596,19.0,0.35371155590530906,17.0,0.868339230995379,56.0,0.9237615823235922,0.9209224327052092,0.9653585218337076
2,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.1}",0.8552640264026403,10.0,0.35611018537724215,9.0,0.8660140821858551,61.0,0.9354493347588502,0.9327424839305192,0.9791637514350986
3,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.5}",0.8513134091186897,20.0,0.350728787878238,22.0,0.8838100888065192,14.0,0.9716737942504159,0.9709139669140713,0.9965129267486953
4,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 1}",0.8270657621317687,48.0,0.3133653409798425,56.0,0.87794256748881,30.0,0.9844782014730338,0.9843000066682522,0.9985182651795181
5,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.01}",0.8547726439310598,12.0,0.3535082081396113,18.0,0.864186651209385,64.0,0.9041250890947967,0.8986521337986788,0.9387482499349729
6,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.05}",0.8525406429531841,16.0,0.3379351898549426,36.0,0.8568898841901861,74.0,0.923201770016631,0.9199621763483987,0.9713127566282237
7,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.1}",0.8503251436254737,22.0,0.35208292214175724,21.0,0.8729650678061149,48.0,0.9305520907578997,0.927994419583656,0.9779012003017271
8,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.5}",0.8295342867620097,47.0,0.31872934940781844,48.0,0.8764801229524121,34.0,0.9735804229033024,0.9729756550148881,0.9975855032223995
9,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 1}",0.8147023591248015,63.0,0.2962205427933637,70.0,0.8607642677120892,70.0,0.9831165359942979,0.9828574514737267,0.998788143052827
10,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.01}",0.8495758464735363,25.0,0.3560491285002466,10.0,0.8561546369254838,75.0,0.9024946543121881,0.8973178544581508,0.9396979166278593
11,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.05}",0.8406612883510572,36.0,0.32732327421749907,44.0,0.8517817560689418,78.0,0.9166607270135426,0.9135175166662407,0.9642300155226888
12,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.1}",0.8471085441877522,32.0,0.34792987940169795,25.0,0.8543274665923267,76.0,0.9359957828462818,0.9336905578444388,0.9780042556736175
13,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.5}",0.8399199364380883,38.0,0.3478972724252941,26.0,0.896273926570465,1.0,0.9743986101211688,0.9738628468512566,0.9967349630021983
14,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 1}",0.8208837550421709,57.0,0.31014425968326353,57.0,0.8671808560238718,58.0,0.9825700879068663,0.982345884712764,0.9985643467061045
15,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.01}",0.856758953673145,8.0,0.3498583795518985,23.0,0.8541593014694454,77.0,0.9022451888809695,0.8966405399325168,0.9406229462933151
16,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.05}",0.848599804424887,26.0,0.3527650205595218,19.0,0.8669982122458972,60.0,0.9150228676645284,0.9117153045764652,0.9648777466732721
17,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.1}",0.8527857230167462,15.0,0.3548896585207398,14.0,0.8608649998769634,69.0,0.9351731408885721,0.9329329388921016,0.9802923468268027
18,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.5}",0.8384402884732918,40.0,0.330481403641777,38.0,0.8729746557565585,46.0,0.9776639344262295,0.9772156041897757,0.9972362116382232
19,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 1}",0.809002566923359,69.0,0.3008029129691906,66.0,0.8729663637376186,47.0,0.984203492516037,0.9840262910678076,0.9986636350675002
20,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01}",0.84833455567779,28.0,0.3438717767742421,28.0,0.8693930038154296,54.0,0.9357359230220956,0.9333521722203516,0.9798546873794324
21,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.05}",0.8555054394328321,9.0,0.35602274868263767,11.0,0.879075456886682,27.0,0.9711303159895464,0.9703526223587602,0.9972464321915566
22,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1}",0.8330002444688912,45.0,0.33042953991130525,39.0,0.8783179788519521,29.0,0.9822938940365882,0.9819906633949735,0.9988330835969558
23,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.5}",0.8226176506539542,56.0,0.3087346932086289,59.0,0.8699466045461375,53.0,0.9882870040389641,0.988182536585667,0.9996041939218283
24,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 1}",0.8037959907101822,77.0,0.29364954263036197,72.0,0.8691452995811575,55.0,0.9885587431693988,0.9884834858515996,0.99966760106837
25,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.01}",0.8582269893656032,5.0,0.3557668470099365,12.0,0.8589274673370217,72.0,0.9400763245426468,0.9379226164871508,0.9817496105216051
26,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.05}",0.85155543332111,18.0,0.35415382659887895,16.0,0.8885191768722283,5.0,0.9768531717747683,0.9763676190630448,0.9979704858650367
27,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.1}",0.8349822760053783,42.0,0.3302521131847126,40.0,0.8845611907934954,11.0,0.9836600142551676,0.9834015183230063,0.9989900295199632
28,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.5}",0.812472802835839,64.0,0.30472996486151066,63.0,0.882172258032347,20.0,0.9888334521263957,0.9887651584240533,0.9996205524871581
29,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 1}",0.8047970908201931,75.0,0.2955877158836738,71.0,0.8733363469204587,45.0,0.9885661677358041,0.9884836743819706,0.999612015117779
30,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.01}",0.8569887544309985,7.0,0.36160261531165266,5.0,0.8760099232251646,39.0,0.9313806723687336,0.9286699165908969,0.9808235570456618
31,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.05}",0.8446241290795745,34.0,0.33901097462267643,35.0,0.872179150510019,50.0,0.9757558208600617,0.975237077301278,0.9973600236917226
32,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.1}",0.843398728761765,35.0,0.3428178801208321,31.0,0.8834802560262031,15.0,0.9831135661677359,0.9829393280723752,0.99909287444976
33,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.5}",0.8176567656765676,60.0,0.3063553072408477,61.0,0.8821973842096128,19.0,0.9863788904727964,0.9862460211217489,0.9994966797529543
34,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 1}",0.8188937782667155,59.0,0.30392775891837004,65.0,0.864679972103071,63.0,0.9882899738655263,0.9881795331578405,0.9996352238113936
35,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 0.01}",0.8498319276372082,23.0,0.3432405373461644,30.0,0.8604060167161404,71.0,0.9338188999762413,0.9314792066253548,0.9821183115081775
36,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 0.05}",0.8485924703581469,27.0,0.3438008199222543,29.0,0.8898922426074434,4.0,0.9743956402946068,0.9738493145521229,0.9974640783989617
37,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 0.1}",0.837461801735729,41.0,0.3301245633440945,41.0,0.8882450359590639,6.0,0.9852904490377762,0.9850926982360363,0.999182702927494
38,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 0.5}",0.8099896100721182,68.0,0.30003259751309075,67.0,0.8857685885630362,8.0,0.9893813851271084,0.9893521254754033,0.9996386468469657
39,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 1}",0.8087642097543087,70.0,0.2933093808059453,73.0,0.8716380226141262,51.0,0.9896501544309813,0.9895615852524466,0.999680957394116
40,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.01}",0.859968830216355,3.0,0.3612858556534353,7.0,0.8631181949430665,67.0,0.9501574008077928,0.9484780607849933,0.9884071947421187
41,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.05}",0.8547738662755163,11.0,0.3613303493661234,6.0,0.8785138822513883,28.0,0.9806619743406986,0.9802854342404471,0.9984642531787941
42,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.1}",0.8263207431854296,50.0,0.31384073080711583,55.0,0.8799463876131938,25.0,0.9863818602993586,0.9862571490867943,0.9994334991888684
43,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.5}",0.8166746119056351,62.0,0.30405905759874197,64.0,0.891099754509615,2.0,0.9899204086481349,0.9898896774585154,0.9997121814972143
44,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 1}",0.8065364869820316,72.0,0.29280496664786215,74.0,0.8740024589511066,44.0,0.9888304822998336,0.988718581126041,0.9996765106803543
45,"{'n_estimators': 200, 'max_depth': 100, 'learning_rate': 0.01}",0.8537831560933873,13.0,0.354752929307373,15.0,0.877398893868633,31.0,0.9534271798526965,0.9519399213137232,0.9907998464220764
46,"{'n_estimators': 200, 'max_depth': 100, 'learning_rate': 0.05}",0.8335069062461802,43.0,0.3262243935970964,46.0,0.8749795176447428,42.0,0.9828433119505823,0.9825631520163339,0.9990705720859673
47,"{'n_estimators': 200, 'max_depth': 100, 'learning_rate': 0.1}",0.8228584525119178,55.0,0.31384466311694215,54.0,0.8838740273633388,13.0,0.9861012116892371,0.9859400800347539,0.9993956394126199
48,"{'n_estimators': 200, 'max_depth': 100, 'learning_rate': 0.5}",0.8040496271849408,76.0,0.28907888887181,77.0,0.874322915047764,43.0,0.9912835590401519,0.9912040387896541,0.9997953055068136
49,"{'n_estimators': 200, 'max_depth': 100, 'learning_rate': 1}",0.8057774110744408,73.0,0.2924050500156782,75.0,0.8769315239830702,32.0,0.9891007365169873,0.9890602099837615,0.9996584810583912
50,"{'n_estimators': 200, 'max_depth': 200, 'learning_rate': 0.01}",0.8513109644297764,21.0,0.35227602570783384,20.0,0.8815444500458474,21.0,0.9553367783321454,0.954025713881075,0.990426197047548
51,"{'n_estimators': 200, 'max_depth': 200, 'learning_rate': 0.05}",0.8332508250825083,44.0,0.3286429390047766,43.0,0.8899158680620312,3.0,0.9861116060822047,0.9859255792818,0.9992111958697073
52,"{'n_estimators': 200, 'max_depth': 200, 'learning_rate': 0.1}",0.8260689402273561,51.0,0.3141377642479191,53.0,0.8857420555594407,9.0,0.9850157400807793,0.9848192985273835,0.9995026194942772
53,"{'n_estimators': 200, 'max_depth': 200, 'learning_rate': 0.5}",0.8070297029702971,71.0,0.2995947371299865,68.0,0.8672068386005949,57.0,0.989923378474697,0.989880296710556,0.9997286533537718
54,"{'n_estimators': 200, 'max_depth': 200, 'learning_rate': 1}",0.8025742574257425,78.0,0.29104667898738495,76.0,0.8762291372026401,37.0,0.9921047160845807,0.992040956258282,0.999780763658267
55,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.01}",0.847114044737807,31.0,0.34157285517264707,32.0,0.8766573361217311,33.0,0.956156450463293,0.954689504479515,0.9912675362913653
56,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.05}",0.8335069062461802,43.0,0.3326477377457925,37.0,0.8879008427035414,7.0,0.9822953789498692,0.982002784358388,0.9987705706529149
57,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.1}",0.8270639286150837,49.0,0.31706322446453133,50.0,0.8754811791244457,40.0,0.9869238536469471,0.9868081969016871,0.9994675636869392
58,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.5}",0.82335655787801,53.0,0.31824351775037985,49.0,0.8845699960045484,10.0,0.9896575789973866,0.9895722842711429,0.9996344752690428
59,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 1}",0.7904388216599438,79.0,0.2807020033228686,80.0,0.8631314140919638,66.0,0.9899263483012591,0.9898728998102996,0.999745092841407
60,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.01}",0.8387000366703337,39.0,0.3289312354115041,42.0,0.8614787638837085,68.0,0.9204843787122833,0.9170453396176199,0.9675357122526081
61,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.05}",0.8659069795868476,1.0,0.36801161705128566,1.0,0.8701341309342492,52.0,0.9564296745070088,0.9549669213190508,0.9911795690266579
62,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.8480931426475982,29.0,0.3459772668425384,27.0,0.8823379276169238,18.0,0.9713990852934188,0.9705768117743224,0.9966532430276743
63,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.5}",0.8189011123334555,58.0,0.3091051934107668,58.0,0.883149553895209,16.0,0.9855592183416488,0.9853817735593312,0.9994620487987451
64,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 1}",0.8048074807480748,74.0,0.2836548151196925,79.0,0.8587227506320195,73.0,0.9888319672131148,0.9887515583829305,0.9996660594874254
65,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 0.01}",0.8498300941205231,24.0,0.34858343431521377,24.0,0.8800539993045196,24.0,0.9158514492753623,0.9124711192905414,0.9689208494334764
66,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 0.05}",0.8592354235423543,4.0,0.365363323109156,3.0,0.879639512490157,26.0,0.9626989783796628,0.961641594714098,0.9939599182374785
67,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 0.1}",0.8476054272093878,30.0,0.3408526289622326,33.0,0.876330298376694,35.0,0.9760394392967451,0.9755455523499353,0.9972916681131252
68,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 0.5}",0.8238387727661655,52.0,0.31506031282359737,51.0,0.876145606686974,38.0,0.9880137799952482,0.9878827689432255,0.9995664474368076
69,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 1}",0.8174129079574625,61.0,0.30719776224366535,60.0,0.8671534366711218,59.0,0.9877405559515324,0.9876207488073515,0.9995694334919302
70,"{'n_estimators': 50, 'max_depth': 200, 'learning_rate': 0.01}",0.8535197408629752,14.0,0.3566574031632307,8.0,0.8722049962894755,49.0,0.9226553219291993,0.9197206084575242,0.9697576731685477
71,"{'n_estimators': 50, 'max_depth': 200, 'learning_rate': 0.05}",0.8612046204620463,2.0,0.36658139699314085,2.0,0.8814271905046832,22.0,0.9621465906391068,0.9610222300605169,0.9935865359286076
72,"{'n_estimators': 50, 'max_depth': 200, 'learning_rate': 0.1}",0.840419264148637,37.0,0.3266867975100386,45.0,0.8752231147232064,41.0,0.9760305298170586,0.9755152601539374,0.997711411185661
73,"{'n_estimators': 50, 'max_depth': 200, 'learning_rate': 0.5}",0.8114729250702848,66.0,0.2977053124567853,69.0,0.8762583203497349,36.0,0.9869253385602281,0.9867642664423683,0.9994553443306102
74,"{'n_estimators': 50, 'max_depth': 200, 'learning_rate': 1}",0.8104944383327222,67.0,0.2888602813082897,78.0,0.8482371179066165,80.0,0.9888319672131146,0.9887529043448644,0.9995891179860654
75,"{'n_estimators': 50, 'max_depth': 50, 'learning_rate': 0.01}",0.845614839261704,33.0,0.34040603784184204,34.0,0.8634090672142442,65.0,0.9169339510572583,0.9133197557057315,0.9690906297664339
76,"{'n_estimators': 50, 'max_depth': 50, 'learning_rate': 0.05}",0.8577490526830461,6.0,0.35490411753240647,13.0,0.8657907481013511,62.0,0.9659628177714422,0.9650339228040737,0.9930958679612006
77,"{'n_estimators': 50, 'max_depth': 50, 'learning_rate': 0.1}",0.8525388094364992,17.0,0.3617645698779115,4.0,0.883999800713094,12.0,0.9757558208600619,0.9751872448000581,0.9971724686751386
78,"{'n_estimators': 50, 'max_depth': 50, 'learning_rate': 0.5}",0.8231065884366215,54.0,0.3196815667931737,47.0,0.8831092545536491,17.0,0.9899189237348539,0.9898156984535961,0.9996030610095513
79,"{'n_estimators': 50, 'max_depth': 50, 'learning_rate': 1}",0.8119728639530619,65.0,0.3050916734427646,62.0,0.88050363492193,23.0,0.9877450106913755,0.9876528479860959,0.9995818794307144
